English,standard bangla,romanized bangla,chakma,romanized chakma
I love you.,আমি তোমায় ভালোবাসি,Ami tomay bhalobashi,মুই তোরে হোস পাঙ,Mui tore hos paang
I am in love.,আমি প্রেমে পড়েছি,Ami preme porechi,মুই প্রেমট পুজ্জং,Mui premot pujjong
I am sorry.,আমি দুঃখিত,Ami dukkhito,মুই দুঃখিত,Mui dukkhito
I am very sorry.,আমি খুবই দুঃখিত,Ami khubi dukkhito,মুই খুব দুঃখিত,Mui khub dukkhito
How are you?,আপনি কেমন আছেন,Apni kemon achen,তুই হেজান আগজ,Tui hejan agoj
I am fine.,আমি ভালো আছি,Ami bhalo achi,মুই গম আগঙ,Mui gom agong
I miss you.,আমার আপনাকে মনে পরছে,Amar apnake mone porche,মর তরে মনত পরের,Mor tore monot porer
That is very bad.,ওটা খুব খারাপ,Ota khub kharap,উবন অনেক হারাপ,Ubon onek harap
Get well soon.,শীঘ্রই সুস্থ হয়ে উঠুন,Shighroi shustho hoye uthun,যাদি গম গজ,Jadi gom goj
I can't stop.,আমি থামতে পারি না,Ami thamte pari na,মুই থামি নোয়ারং,Mui thami noyarong
I can't hear you.,আমি তোমাকে শুনতে পাচ্ছি না,Ami tomake shunte pacchi na,মুই তোরে শুনি নোপাঙ অর,Mui tore shuni nopaang or
You are late.,তুমি দেরী কোরেছো,Tumi deri korecho,তুই দেরি গুচ্ছস,Tui deri gucchos
Who is that man?,ঐ লোকটি কে?,Oi lokti ke?,সিবি হোন্না,Sibi honna
Who built that?,ঐটা কে নির্মাণ করেছিলো?,Oita ke nirman korechilo?,সিবি হোন্না বানেয়ি,Sibi honna baneyi
They hit.,তারা আঘাত করেছিল,Tara aghat korechilo,ওতারা মাজ্জন,Otara majjon
She got angry.,সে রেগে গেল,She rege gelo,উবো রাগি জিয়ি,Ubo ragi jiyi
She is a teacher.,সে একজন শিক্ষিকা,She ekjon shikkhika,তে ইক্কু মিলি মাস্টর,Te ikku mili mastor
Don't worry.,কোন চিন্তা করো না,Kono chinta koro na,হনো চিদে নগুরিজ,Hono chide nogurij
I am very happy.,আমি অত্যন্ত খুশি,Ami ottonto khushi,মুই হুব হুজি,Mui hub huji
I can swim.,আমি সাঁতার কাটতে পারি,Ami shatar katte pari,মুই সাজুরি জানঙ,Mui sajuri janong
I can run.,আমি চালাতে সক্ষম,Ami chalate shokhom,মুই চালে পারিম,Mui chale parim
I can't come.,আমি আসতে পারব না,Ami ashte parbo na,মুই এই নোপারিম,Mui ei noparim
She was alone.,তিনি একা ছিলেন,Tini eka chilen,তে গাই এলো,Te gai elo
She was brave.,তিনি সাহসী ছিল,Tini shahoshi chilo,তে সাহসী এলো,Te sahosi elo
She likes swimming.,তিনি সাঁতার কাটতে পছন্দ করেন,Tini shatar katte pochondo koren,তে সাজুরদে গম পাই,Te sajurde gom pai
Don't be angry.,রাগ করো না,Raag koro na,রাগ নগুরিজ,Rag nogurij
Don't be sad.,দু: খিত হবেন না,Dukkhito hoben na,দুকখো নগুরিজ,Dukkho nogurij
Can you come?,তুমি কি আসতে পারবে?,Tumi ki ashte parbe?,তুই এ পারিবি?,Tui e paribi?
Can I help you?,আমি কি সাহায্য করতে পারি?,Ami ki shahajjo korte pari?,মুই সাহায্য গুরি পারিম?,Mui sahajjo guri parim?
Are you hungry?,তুমি কী ক্ষুধার্ত?,Tumi ki khudhartro?,তর পেট পুরের?,Tor pet purer?
Are you going?,তুমি কি যাচ্ছ?,Tumi ki jaccho?,তুই যট্টে নাহি?,Tui jotte nahi?
Are you crazy?,তুমি কি পাগল?,Tumi ki pagol?,তুই পাগল নাহি?,Tui pagol nahi?
Are you serious?,তুমি কি সিরিয়াস?,Tumi ki serious?,তুই কি সিরিয়াস আগজ?,Tui ki serious agoj?
Can I help you?,আমি কি তোমাকে সাহায্য করতে পারি?,Ami ki tomake shahajjo korte pari?,মুই হি তরে সাহায্য গুরি পারিম?,Mui hi tore sahajjo guri parim?
Can you tell me?,আপনি কি আমাকে বলতে পারেন?,Apni ki amake bolte paren?,তুই মরে হোই পারিবি?,Tui more hoi paribi?
Can you hear me?,তুমি কি আমার কথা শুনতে পাচ্ছ?,Tumi ki amar kotha shunte paccho?,তুই মো হদা শুনি পারব?,Tui mo hoda shuni parbo?
Do you smoke?,তুমি কি ধুমপান কর,Tumi ki dhumpan koro,তুই হি ধুয়ো হজ?,Tui hi dhuyo hoj?
Have you eaten?,তুমি কি খেয়েছ?,Tumi ki kheyecho?,তুই হি হিয়োজ?,Tui hi hiyoj?
Can she run fast?,সে দ্রুত দৌড়াতে পারে,She druto dourate pare,তে যাদি দাবা দিহ,Te jadi daba dih
Have you finished?,তুমি কি শেষ করেছ?,Tumi ki shesh korecho?,তুই হি হামান শেজ গুচ্ছস?,Tui hi haman shej gucchos?
She started running.,সে দৌড়াতে শুরু করল,She dourate shuru korlo,তে ধাবা দি শুরু গুচ্ছি,Te dhaba di shuru gucchi
She didn't speak.,তিনি কথা বলেননি,Tini kotha bolenni,তে হদা নোহই,Te hoda nohoi
Her eyes were blue.,তার চোখ নীল,Tar chokh neel,তা চোকখান নিল,Ta chokkhan nil
Her smile was good.,তার হাসি ভাল ছিল,Tar hashi bhalo chilo,তা আজি আন দোল এলো,Ta aji an dol elo
How is your life going?,আপনার জীবন কেমন চলছে?,Apnar jibon kemon cholche?,ত জীবন আন হেজান চলের?,To jibon an hejan choler?
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে?,Tomar bashar shobai kemon ache?,ত গরত বেক্কুন হেজান আগন,To gorot bekkun hejan agon
I am a student.,আমি একজন ছাত্র,Ami ekjon chatro,মুই ইজ্ঞু ছাত্র,Mui iggu chatro
I am going to study.,আমি পড়াশোনা করতে যাচ্ছি,Ami porashona korte jacchi,মুই পুরিবার যাঙঅর,Mui puribar yaangor
I am not a teacher.,আমি একজন শিক্ষক নই,Ami ekjon shikkhok noi,মুই ইজ্ঞু মাস্টর নয়,Mui iggu mastor noy
I trust you.,আমি তোমাকে বিশ্বাস করি,Ami tomake bisshash kori,মুই তরে বিচ্ছেস যাঙ,Mui tore bicches yaang
I can do this.,আমি এই কাজ করতে পারি,Ami ei kaj korte pari,মুই এই হামান গুরি পারিস,Mui ei haman guri paris
I can run fast.,আমি দ্রুত দৌড়াতে পারি,Ami druto dourate pari,মুই যাদি ধাবা দি পারঙ,Mui jadi dhaba di parong
I can't believe it.,আমি এটা বিশ্বাস করতে পারছি না,Ami eta bisshash korte parchi na,মুই ইয়ান বিচ্ছেস যে নোপারঙ অয়,Mui yaan bicches ye noparong oy
It's a long story.,এটি একটি দীর্ঘ গল্প,Eti ekti dirgho golpo,ইয়ান দি দাঙ অর গল্প,Yaan di daang or golpo
It looks like a bird.,এটা একটি পাখির মত দেখায়,Eta ekti pakhir moto dekhay,ইয়া ইজ্ঞু পেক অ দঙ দেগায়,Yaan iggu pek o dong degay
It really takes time.,এটা সত্যিই সময় লাগে,Eta shotti shomoy lage,ইয়ান গিচ্ছি সময় লাগে,Yaan gicchi somoy lage
It was really cheap.,এটা সত্যিই সস্তা ছিল,Eta shotti shosta chilo,ইয়ান গিচ্ছি হম দাম এলো,Yaan gicchi hom dam elo
It was so noisy.,এটা তাই কোলাহলপূর্ণ ছিল,Eta tai kolaholpurno chilo,সেনতটাই ইয়ান জ্যাম এলো,Sentotai yaan jam elo
It was very difficult.,এটা খুব কঠিন ছিল,Eta khub kothin chilo,ইয়ান অনেক হুঠিন এলো,Yaan onek huthin elo
It wasn't expensive.,এটা ব্যয়বহুল ছিল না,Eta beybohul chilo na,ইয়ান বেজ দাম ন এলো,Yaan bej dam no elo
It wasn't necessary.,এটা প্রয়োজন ছিল না,Eta proyojon chilo na,ইয়ান দরকার ন এলো,Yaan dorkar no elo
Let me check.,যাচাই করতে দাও,Jachai korte dao,যাচাই গুরিবার দে,Yachai guribar de
Let me see.,আমাকে দেখতে দাও,Amake dekhte dao,মরে দিগিবার দে,More digibar de
Can I join you?,আমি আপনাকে যোগ দিতে পারি?,Ami apnake jog dite pari?,মুই তরে যোগ দি পারিম?,Mui tore jog di parim?
What can I say?,আমি কি বলতে পারি?,Ami ki bolte pari?,মুই হি হোই পারিম?,Mui hi hoi parim?
Can I eat this?,আমি কি এটা খেতে পারি?,Ami ki eta khete pari?,মুই হি ইয়ান হে পারিম?,Mui hi yaan he parim?
My father is tall.,আমার বাবা লম্বা,Amar baba lomba,মো বা ওজল,Mo ba ojol
My sister has a job.,আমার বোনের চাকরি আছে,Amar boner chakri ache,মো বোন্নুর চাগুরি আগে,Mo bonnur chaguri age
My sister is famous.,আমার বোন বিখ্যাত,Amar bon bikhyato,মো বোন্নু নামকরা আগে,Mo bonnu namkora age
My wife is a doctor.,আমার স্ত্রী একজন ডাক্তার,Amar stri ekjon daktar,মো মোক্কু ইজ্ঞু ডক্টর,Mo mokku iggu doctor
"No, I will eat later.","না, আমি পরে খাব","Na, ami pore khabo",নাদে মুই পরে হেম,Nade mui pore hem
Please come in.,অনুগ্রহ করে ভিতরে আসুন,Onugroho kore bhitore ashun,হুজুলি গুরি ডিদিরি আই,Hujuli guri didiri ai
Please do that again.,দয়া করে সেটা আবার করুন,Doya kore sheta abar korun,হুজুলি গোরঙ অর আরেগ বার গর,Hujuli gorong or areg bar gor
Please give it to me.,দয়া করে আমাকে দিন,Doya kore amake din,হুজুলি গোরঙ অর মরে দে,Hujuli gorong or more de
He praised him.,সে তাকে তারিফ করেছিল,She take tarif korechilo,তে তারে প্রশংসা গুচ্ছি,Te tare proshongsha gucchi
He avoided me.,সে আমাকে এড়িয়ে চলে,She amake eriye chole,তে মরে এড়িয়ে চলে,Te more eriye chole
He came last.,সে শেষ এসেছিল,She shesh eshechilo,চে সেজবার ইচ্ছি,Che sejbar icchi
He goes to school.,সে স্কুলে যায়,She schoole jay,যে সকুলট যায়,Je skulot jaay
It's a good decision.,এটা একটা ভাল সিদ্ধান্ত,Eta ekta bhalo siddhanto,ইয়ান এক্কান গোম চিন্তা,Yaan ekkan gom chinta
That's my book.,যে আমার বই,Je amar boi,ইয়ান মো বিদ্যা,Yaan mo bidya
That's my son.,যে আমার ছেলে,Je amar chele,সিবি মোর পো,Sibi mor po
The dog is dead,কুকুরটি মারা গেছে,Kukurti mara geche,হুগুরবু মুজ্জি,Hugurbu mujji
No doubt,কোন সন্দেহ নেই,Kono shondeho nei,হন সন্দেহ নেই,Hono shondeho nei
They got married,তারা বিয়ে করেছে,Tara biye koreche,তারা লোলি উয়োন,Tara loli uyon
They have some books,তাদের কিছু বই আছে,Tader kichu boi ache,তারার হিজু বোই আগে,Tarar hiju boi age
They stopped talking,তাদের কথা বলা বন্ধ,Tader kotha bola bondho,তারার হদা হোনা বন্ধ,Tarar hoda hona bondho
This is my friend,এই আমার বন্ধু,Ei amar bondhu,ইবি মোর সমাজ্জি,Ibi mor shomajji
This bird can't fly,এই পাখি উড়তে পারে না,Ei pakhi urte pare na,এই পেকঘু উরি নোপারে,Ei pekghu uri nopare
This decision is final,এই সিদ্ধান্ত চূড়ান্ত,Ei siddhanto churanto,এই বুদ্ধিমান চূড়ান্ত,Ei buddhiman churanto
This is my book,এটা আমার বই,Eta amar boi,ইয়ান ম বোই,Yaan mo boi
This is my brother,এই আমার ভাই,Ei amar bhai,ইবি ম ডেই,Ibi mo dei
This is my daughter,এই আমার মেয়ে,Ei amar meye,ইবি ম জি,Ibi mo ji
This is not a joke,এটি তামাশা না,Eti tamasha na,ইয়ান মশকারি নয়,Yaan moshkari noy
This river is beautiful,এই নদী সুন্দর,Ei nodi shundor,এই নদীয়ান দোল আগে,Ei nodiyan dol age
This story is true,এই গল্প সত্য,Ei golpo shotto,এই কাহিনীয়ান সত্য আগে,Ei kahiniyan shotto age
Will it rain today?,আজ কি বৃষ্টি হবে?,Aaj ki brishti hobe?,ইচ্ছি হি ঝড় দিবু?,Icchi hi jhor dibu?
Will you go for a walk?,তুমি কি বেড়াতে যাবে?,Tumi ki berate jabe?,তুই হি বেরেবার যেবে?,Tui hi berebar jebe?
Will he come?,সে কি আসবে?,She ki ashbe?,তে হি এবো?,Te hi ebo?
Will you kill me?,তুমি কি আমাকে মেরে ফেলবে?,Tumi ki amake mere felbe?,তুই হি মরে মারি ফেলেবে নাহি?,Tui hi more mari phelebe nahi?
Will you love me?,তুমি কি আমাকে ভালোবাসবে?,Tumi ki amake bhalobashbe?,তুই হি মরে হোজ পেরে?,Tui hi more hoj pere?
Will you come here?,তুমি কি এখানে আসবে,Tumi ki ekhane ashbe,তুই হি ইয়োট এবে?,Tui hi iyot ebe?
You are so beautiful,আপনি খুব সুন্দর,Apni khub shundor,তুই অনেক দোল,Tui onek dol
You are so brave,আপনি খুব সাহসী,Apni khub shahoshi,তুই অনেক সাহসী,Tui onek shahoshi
You broke the rules,আপনি নিয়ম ভঙ্গ করেছেন,Apni niyom bhengechen,তি নিয়ম আন ভাঙগোজ করেছেন,Ti niyom an bhanggoj korechen
Do you love me or not?,তুমি আমাকে ভালোবাসো কি না,Tumi amake bhalobasho ki na,তুই মোরে হোজ পাস নাহি?,Tui more hoj pas nahi?
You made me happy,তুমি আমাকে খুশি করেছো,Tumi amake khushi korecho,তুই মরে হুজি গুচ্ছস,Tui more huji gucchos
You can go,তুমি যেতে পার,Tumi jete paro,তুই যে পারস,Tui je paros
You should sleep,তোমার তো ঘুমানো উচিত,Tomar to ghumano uchit,তর ঘুম জানা দরকার,Tor ghum jana dorkar
I'm not bothering you,আমি তোমাকে বিরক্ত করছি না,Ami tomake birokto korchi na,মুই তরে বিরক্ত নগরঙ অর,Mui tore birokto nogorong or
Whose idea is this?,এটা কার ধারণা?,Eta kar dharona?,ইহান হার ধারনা?,Ihan har dharrna?
Thanks for your help,আপনার সাহায্যের জন্য ধন্যবাদ,Apnar shahajjer jonno dhonnobad,মরে সাহায্য গুরিবার লাই তরে জু জু,More shahajjo guribar lai tore ju ju
Thank you for coming,আসার জন্য আপনাকে ধন্যবাদ,Ashar jonno apnake dhonnobad,এবার লাই তরে জু জু,Ebar lai tore ju ju
How are you?,তোমার কী অবস্থা,Tomar ki obostha,তর হি অবস্থা?,Tor hi obostha?
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে,Tomar bashar shobai kemon ache,তর বাসাত বেক্কুন হেজান আগন?,Tor basat bekkun hejan agon?
It's nice to see you,তোমাকে দেখে ভাল লাগলো,Tomake dekhe bhalo laglo,তরে সেনেই গম লাগিলু,Tore senei gom lagilu
I don't like it,আমি এটা পছন্দ করি না,Ami eta pochondo kori na,মুই ইয়াান গম নোপাঙ,Mui yaan gom nopaang
I have no idea,আমার কোন ধারণা নাই,Amar kono dharona nai,মোর হনো ধারনা নাই,Mor hono dharrna nai
Thank you very much,তোমাকে অনেক ধন্যবাদ,Tomake onek dhonnobad,তরে অনেক ধন্যবাদ,Tore onek dhonnobad
See you next week,পরের সপ্তাহে দেখা হবে,Porer shoptahe dekha hobe,পরে সাপ্তাত দেগা অব,Pore saptat dega ob
See you next year,সামনের বছর দেখা হবে,Shamner bochor dekha hobe,পরে বজর দেগা অব,Pore bojor dega ob
See you soon,শীঘ্রই আবার দেখা হবে,Shighroi abar dekha hobe,যদি আরো দেগা অব,Jodi aro dega ob
See you tomorrow,আগামীকাল দেখা হবে,Agamikal dekha hobe,হিলি দেগা অব,Hili dega ob
I'm crazy about you,আমি তোমার সম্পর্কে পাগল,Ami tomar shomporke pagol,মুই তরলাই পাগল,Mui torlai pagol
I'm crazy with you.,আমি তোমার সাথে পাগল,Ami tomar shathe pagol,মুই তরলাই পাগল,Mui torlai pagol
It's nice to meet you,তোমার সাথে দেখা করে ভালো লাগলো,Tomar shathe dekha kore bhalo laglo,তর লোই দেগা ওনেই গম লাক্কি,Tor loi dega onei gom lakki
It's so cheap,এটা খুব সস্তা,Eta khub shosta,ইয়ান অনেেক দাম হম,Yaan onek daam hom
Just a moment,শুধু একটা মুহূর্ত,Shudhu ekta muhurto,বানা এক্কান মুহুর্ত,Bana ekkan muhurto
You're so nice,আপনি খুব চমৎকার,Apni khub chomotkar,তুই অনেক চমৎকার,Tui onek chomotkar
I really appreciate it,আমি সত্যিই এটার প্রশংসা করছি,Ami shottyi etar proshongsha korchi,মুই গিচ্ছি ইহান নাম গুচ্ছোং,Mui gicchi ihan naam gucchong
You're so smart,আপনি খুব স্মার্ট,Apni khub smart,তুই অনেক স্মার্ট,Tui onek smart
I really miss you,আমি তোমাকে সত্যি মিস করছি,Ami tomake shotti miss korchi,মুই গিছি তরে অনেক মিস গরঙওর,Mui gichi tore onek miss gorongor
Will you help me?,আপনি কি আমাকে সাহায্য করবেন?,Apni ki amake shahajjo korben?,তুই হি মরে সাহায্য গুরিবি?,Tui hi more shahajjo guribi?
Will you stay home?,তুমি কি বাড়িতে থাকবে,Tumi ki barite thakbe,তুই হি গরত থেবে,Tui hi gorot thebe
Do you need anything?,তোমার কোন কিছু দরকার?,Tomar kono kichu dorkar?,তোর হিচ্ছু লাগিবু?,Tor hicchu lagibu?
Do you need this book?,তোমার কি এই বইটা দরকার?,Tomar ki ei boita dorkar?,তর হি এই বিদ্যা আন দরকার?,Tor hi ei bidda an dorkar?
Are you feeling better?,আপনি ভাল অনুভব করছেন?,Apni bhalo onubhob korchen?,তুই গম অনুভব গরর?,Tui gom onubhob goror?
Come and see me now,এসো এবং এখন আমাকে দেখতে,Esho ebong ekhon amake dekhte,আই মরে সে জা,Ai more se ja
Come with your family,আপনার পরিবারের সাথে আসুন,Apnar poribarer shathe ashun,ত পরিবার সুদ্ধো এজো,To poribar shuddho ejo
I'm very busy this week,আমি এই সপ্তাহে খুব ব্যস্ত,Ami ei shoptahe khub besto,মুই এই সাপ্তাত অনেক ব্যস্ত,Mui ei saptat onek besto
Have a lot of money,অনেক টাকা আছে,Onek taka ache,বেজ টেঙা আগন,Bej tenga agon
They're good people,তারা ভালো মানুষ,Tara bhalo manush,তারা গম মানুজ,Tara gom manuj
We need some money,আমাদের কিছু টাকা দরকার,Amader kichu taka dorkar,আমার হিজু টেঙা লাগিবাক,Amar hiju tenga lagibak
What are you doing today?,তুমি আজ কি করছ?,Tumi aaj ki korcho?,তুই ইচ্ছি হি গরর?,Tui icchi hi goror?
What can I do for you?,আমি আপনার জন্য কি করতে পারি?,Ami apnar jonno ki korte pari?,মুই তর লাই হি গরি পারঙ?,Mui tor lai hi gori parong?
What was the word for?,শব্দটা কিসের ছিল?,Shobdota kisher chilo?,হিয়ো শব্দ?,Hiyo shobdo?
When can we eat?,আমরা কখন খেতে পারি?,Amra kokhon khete pari?,আমি হক্কেনে হেবং?,Ami hokkene hebong?
When do you study?,আপনি কখন পড়াশোনা করেন?,Apni kokhon porashona koren?,তুই হক্কেনে বিদ্যা শিক্কোস?,Tui hokkene bidda shikkos?
When did it end?,এটা কখন শেষ হয়েছিল?,Eta kokhon shesh hoyechilo?,ইয়ান হক্কেনে সেজ অল?,Yaan hokkene sej ol?
Tell me something about your family,আপনার পরিবার সম্পর্কে কিছু বলেন,Apnar poribar shomporke kichu bolen,তু পরিবার সম্বন্ধে হিচ্ছু হ?,Tu poribar shombondhe hicchu ho?
Do you understand?,তুমি কি বুঝতে পেরেছো?,Tumi ki bujhte perecho?,তুই হি বুজি পাজ্জোস,Tui hi buji pajjos
Do you love me?,তুমি কি আমাকে ভালোবাসো?,Tumi ki amake bhalobasho?,তুই হি মরে হোজ পাস?,Tui hi more hoj pas?
Don't talk about work,কাজের কথা বলবেন না,Kajer kotha bolben na,হামো হদা নোহোজ,Hamo hoda nohoj
How can I help you?,আপনাকে কিভাবে সাহায্য করতে পারি?,Apnake kibhabe shahajjo korte pari?,মুই তরে হেঙোরি সাহায্য গুরিম?,Mui tore hengori sahajjo gurim?
How deep is the lake?,লেকের গভীরতা কত?,Leker gobhirota koto?,লেক্কানোর গভীর হিদিক্কিন,Lekkanor gobhir hidikkin
I'm proud of my son,আমি আমার ছেলের জন্য গর্বিত,Ami amar cheler jonno gorbito,মুুই মো পবুর লাই গর্বিত,Mui mo pobur lai gorbito
I'm sorry to bother you,আমি আপনাকে বিরক্ত করার জন্য দুঃখিত,Ami apnake birokto korar jonno dukkhito,মুই তরেে বেজাল গুরিবার লাই দুঃখিত,Mui tore bejal guribar lai dukkhito
Can I open the door?,আমি কি দরজা খুলতে পারি?,Ami ki dorja khulte pari?,মুই হি দোর আন হুলি পারিম?,Mui hi dor an huli parim?
Thank you for everything,সবকিছুর জন্য ধন্যবাদ,Shobkichur jonno dhonnobad,বেক্কানির লাই জু জু,Bekkanir lai ju ju
Do you have any ideas about this?,আপনার কোন ধারণা আছে এই ব্যাপারে?,Apnar kono dharona ache ei bepare?,তর হনো ধারনা আগে এই ব্যাপারে?,Tor hono dharrna age ei bepare?
Where are you from?,তুমি কোথা থেকে আসছো,Tumi kotha theke ashcho,তুই হট্টুন ইচ্ছোস?,Tui hottun icchos?
Let me think about it,আমাকে এটা সম্পর্কে চিন্তা করতে দিন,Amake eta shomporke chinta korte din,মরে এই সম্পর্কে চিদে গুরি দে,More ei shomporke chide guri de
Will you stop talking?,তুমি কি কথা বলা বন্ধ করবে?,Tumi ki kotha bola bondho korbe?,তুই হি হদা হনা থামেবে?,Tui hi hoda hona thamebe?
Do you want to go?,আপনি কি যেতে চান?,Apni ki jete chan?,তুই হি যেবার চাস?,Tui hi jebar chas?
Will you teach me?,তুমি কি আমাকে শেখাবে?,Tumi ki amake shekhabe?,তুই হি মোরে সেগেবে?,Tui hi more shegebe?
Close the door,দরজা বন্ধ করুন,Dorja bondho korun,দোর আন বান,Dor an ban
It was a very big room,এটি একটি খুব বড় রুম ছিল,Eti ekta khub boro room chilo,ইহান এক্কান দাঙর ঘর এলো,Ihan ekkan daangor ghor elo
He agreed with me,তিনি আমার সাথে একমত,Tini amar shathe ekmot,তে মর লোই সহমত,Te mor loi sohomot
We started walking,আমরা হাঁটতে শুরু করলাম,Amra hathte shuru korlam,আমিি আদানা শুরু গুচ্ছি,Ami adana shuru gucchi
We can change,আমরা পরিবর্তন করতে পারি,Amra poriborton korte pari,আমি পরিবর্তন গুরি পারি,Ami poriborton guri pari
We cook every day,আমরা প্রতিদিন রান্না করি,Amra protidin ranna kori,আমি নিততো রানি,Ami nitto rani
Where does it hurt?,এটা কোথায় ব্যাথা করে?,Eta kothay betha kore?,ইয়াান হুবোত পিরি গরে?,Yaan hubot piri gore?
When was he born?,সে কখন জন্মেছিল?,She kokhon jonmechilo?,তে হক্কেনে জন্মেয়ি?,Te hokkene jonmeyi?
I can't see anything,আমি কিছুই দেখতে পাচ্ছি না,Ami kichui dekhte pacchi na,মুই হিচ্ছু সে নোপারঙ অর,Mui hicchu se noparong or
I don't agree with you,আমি আপনার সাথে একমত নই,Ami apnar shathe ekmot noi,মুই তর লেই সহমত নই,Mui tor lei sohomot noi
How do you get to school?,তুমি কিভাবে স্কুলে আস?,Tumi kibhabe schoole asho?,তুই হেঙোরি স্কুলত এজজ?,Tui hengori schoolot ejjo?
"If I had money, I could buy it",আমার কাছে টাকা থাকলে আমি কিনতে পারতাম,Amar kache taka thakle ami kinte partam,ম ইদু টেঙা যেলে মুই হিনি পারিদুঙ,Mo idu tenga jele mui hini paridung
"If he comes, tell him to wait","যদি তিনি আসেন, তাকে অপেক্ষা করতে বলুন","Jodi tini ashen, take opekha korte bolun","তে যদি এজে, তারে বাচ্ছে যেবার হোজ","Te jodi eje, tare bacche jebar hoj"
"If it rains, we will get wet","যদি বৃষ্টি হয়, আমরা ভিজে যাব","Jodi brishti hoy, amra vije jabo","যুদি ঝড় দে, আমি বিজি জেবং","Judi jhor de, ami biji jebong"
My hair has grown very long,আমার চুল অনেক লম্বা হয়েছে,Amar chul onek lomba hoyeche,মো হেচ্ছানি দাঙ আর উয়ি,Mo hecchani daang ar uyi
My mother is always at home,আমার মা সবসময় বাড়িতে থাকে,Amar ma shobshomoy barite thake,মো মা সবসময় গরত থাই।,Mo ma shobshomoy gorot thai.
There are many fish in this lake,এই হ্রদে অনেক মাছ আছে,Ei hrode onek mach ache,এই হ্রদতানত বালুক্কুন মাজ আগে,Ei hrodtanot balokkun maj age
There are many problems to solve,সমাধান করার জন্য অনেক সমস্যা আছে,Shomadhan korar jonno onek shomossha ache,সমাধান গুরিবাল্লাই বালোক্কানি সমস্যা আগে,Shomadhan guriballai balokkani shomossha age
There is nothing wrong with him,তার সাথে কোন ভুল নেই,Tar shathe kono bhul nei,তা লঙে হোনো ভুল নেই,Ta longe hono bhul nei
There was a sudden change in the weather,আবহাওয়ার হঠাৎ পরিবর্তন ছিল,Abhaoar hotath poriborton chilo,হঠাৎ গুরি দেবা আন বুদুলি গেলো,Hothat guri deba an buduli gelo
No one was in the garden,বাগানে কেউ ছিল না,Bagane keu chilo na,বাগান আনত হেয়ো নয়েলাক,Bagan anot heyo noyelak
There was no one there,সেখানে কেউ ছিল না,Shekhane keu chilo na,সিওত হেয়োজন নয়েলাক,Siot heyojon noyelak
There have been five murders this month,এই মাসে পাঁচটি খুনের ঘটনা ঘটেছে,Ei mashe panchti khuner ghotona ghoteche,এই মাজই পাচ্চু হুন উয়ি,Ei majoi paccu hun uyi
They praise each other,তারা একে অপরের প্রশংসা করে,Tara eke oporer proshongsha kore,অ তারা যে যারে নাম গরন,O tara je yare naam goron
They agree to work together,তারা একসঙ্গে কাজ করতে রাজি হয়েছে,Tara ekshonge kaaj korte raji hoyeche,তারা এক লঙে হাম গুরিবার রাজি উয়োন,Tara ek longe ham guribar raji uyon
They are both good teachers,তারা দুজনেই ভালো শিক্ষক,Tara dujonei bhalo shikkhok,তারা দুঅবু গম মাস্টর,Tara duobu gom mastor
